TEAM;LEAGUE;W;L;ERA;G;GS;CG;SHO;SV;SVO;IP;H;R;ER;HR;HB;BB;SO;WHIP;AVG
Philadelphia Phillies;NL;14;13;4.24;27;27;0;0;7;14;239.2;241;123;113;31;9;84;264;1.36;.259
Los Angeles Dodgers;NL;17;10;3.86;27;27;0;3;11;17;238.0;202;115;102;26;7;108;258;1.30;.229
New York Mets;NL;19;8;2.36;27;27;0;5;9;12;240.2;198;74;63;10;10;89;256;1.19;.223
Boston Red Sox;AL;15;14;4.08;29;29;0;2;8;13;258.1;249;136;117;24;15;91;251;1.32;.253
San Francisco Giants;NL;18;10;3.45;28;28;0;0;10;14;245.1;209;105;94;22;10;97;249;1.25;.230
Arizona Diamondbacks;NL;14;13;4.43;27;27;0;1;7;12;244.0;222;134;120;32;11;83;244;1.25;.237
Toronto Blue Jays;AL;13;13;3.73;26;26;0;0;8;13;234.1;200;106;97;33;15;77;242;1.18;.231
Tampa Bay Rays;AL;13;14;3.51;27;27;0;2;7;10;243.2;204;102;95;39;12;75;239;1.15;.227
San Diego Padres;NL;17;10;2.77;27;27;1;7;11;12;237.0;182;79;73;20;7;86;236;1.13;.209
Minnesota Twins;AL;11;16;3.79;27;27;0;1;3;8;233.0;217;108;98;30;15;71;234;1.24;.242
New York Yankees;AL;15;11;3.87;26;26;0;2;9;12;228.0;169;110;98;25;6;105;234;1.20;.202
Houston Astros;AL;13;13;3.19;26;26;1;2;8;11;231.2;173;85;82;22;8;73;233;1.06;.206
Kansas City Royals;AL;14;14;3.26;28;28;0;2;9;13;248.1;209;100;90;24;7;93;232;1.22;.228
Seattle Mariners;AL;15;12;3.71;27;27;0;1;9;13;247.1;230;117;102;24;5;93;230;1.31;.244
Washington Nationals;NL;12;15;4.56;27;27;0;2;9;13;235.0;225;124;119;24;17;97;229;1.37;.252
Chicago Cubs;NL;17;11;4.34;28;28;0;3;7;13;251.0;244;130;121;33;10;99;227;1.37;.252
Cleveland Guardians;AL;15;11;4.07;26;26;0;3;9;12;228.0;217;112;103;31;6;101;225;1.39;.251
Pittsburgh Pirates;NL;11;17;3.85;28;28;0;3;6;11;252.1;213;118;108;20;13;84;224;1.18;.227
Texas Rangers;AL;15;12;3.26;27;27;1;4;10;14;235.0;195;98;85;21;11;67;223;1.11;.223
Athletics;AL;13;14;4.61;27;27;0;2;9;12;240.0;242;141;123;33;12;107;222;1.45;.258
Milwaukee Brewers;NL;13;15;4.28;28;28;0;4;4;7;244.0;221;128;116;34;10;108;221;1.35;.242
Cincinnati Reds;NL;14;13;3.55;27;27;0;3;9;13;238.1;188;108;94;36;7;79;219;1.12;.212
Detroit Tigers;AL;17;10;2.91;27;27;0;3;9;11;238.1;187;87;77;26;12;80;217;1.12;.213
Atlanta Braves;NL;12;14;4.37;26;26;0;1;5;10;226.1;206;113;110;34;8;96;212;1.33;.242
Miami Marlins;NL;12;14;5.23;26;26;0;2;5;8;234.0;231;145;136;34;11;112;205;1.47;.255
Chicago White Sox;AL;7;20;4.21;27;27;0;2;1;3;230.2;211;117;108;33;20;105;203;1.37;.240
St. Louis Cardinals;NL;12;15;4.26;27;27;0;2;6;13;240.2;216;125;114;23;6;82;186;1.24;.238
Los Angeles Angels;AL;12;14;4.76;26;26;0;2;8;12;227.0;226;128;120;34;7;107;184;1.47;.262
Baltimore Orioles;AL;10;16;5.28;26;26;0;0;3;4;225.0;254;140;132;33;8;96;181;1.56;.287
Colorado Rockies;NL;4;22;5.22;26;26;0;0;3;8;224.0;258;150;130;35;9;97;178;1.58;.290
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
